time;state;position;speed;motor_current;BatteryVoltage_filtered
5858;IDLE;0;0;0.00;1624.0
5876;IDLE;0;0;0.00;13.2
10696;WINDING_IN;0;0;0.00;13.2
10882;WINDING_IN;-7;-10;2125.00;12.5
11296;WINDING_IN_DECEL;-84;-42;1745.00;12.5
11387;WINDING_IN_DECEL;-105;-38;1555.00;12.6
11892;WINDING_IN_DECEL;-214;-32;2265.00;12.4
12398;WINDING_IN_DECEL;-302;-25;3355.00;12.0
12904;WINDING_IN_DECEL;-440;-42;1140.00;12.7
13410;WINDING_IN_DECEL;-577;-47;920.00;12.7
13916;WINDING_IN_DECEL;-716;-28;2320.00;12.4
14422;WINDING_IN_DECEL;-728;0;5985.00;11.4
14516;WINDING_IN_DECEL;-728;0;5980.00;11.4
14521;FINISHED;-728;0;6035.00;11.4
14536;IDLE;0;0;4725.00;11.6
16776;START_CLEAN_OUT;0;0;0.00;13.1
16930;START_CLEAN_OUT;7;14;305.00;13.1
17435;START_CLEAN_OUT;68;20;1060.00;12.8
17876;DECEL_LOOSE;150;31;750.00;12.8
17896;DECEL_LOOSE;153;24;495.00;12.9
17916;DECEL_LOOSE;154;8;255.00;12.9
17936;DECEL_LOOSE;154;3;60.00;13.0
17941;DECEL_LOOSE;154;3;0.00;13.0
17956;DECEL_LOOSE;154;0;0.00;13.0
17976;DECEL_LOOSE;154;0;0.00;13.1
17996;DECEL_LOOSE;154;0;0.00;13.1
18016;DECEL_LOOSE;154;0;0.00;13.1
18036;DECEL_LOOSE;154;0;0.00;13.1
18041;WIGGLE_IN;154;0;0.00;13.1
18156;WIGGLE_OUT;146;-6;2915.00;12.4
18447;WIGGLE_OUT;169;18;585.00;12.9
18636;WIGGLE_IN;196;24;830.00;12.8
18756;WIGGLE_OUT;192;-3;3280.00;12.2
18953;WIGGLE_OUT;204;14;335.00;13.1
19236;WIGGLE_IN;242;24;825.00;12.8
19356;WIGGLE_OUT;236;-9;2875.00;12.3
19458;WIGGLE_OUT;241;11;190.00;12.9
19836;WIGGLE_IN;286;23;855.00;12.8
19956;WIGGLE_OUT;281;-3;3265.00;12.2
19963;WIGGLE_OUT;281;-3;3105.00;12.2
20436;WIGGLE_IN;331;25;825.00;12.8
20470;WIGGLE_IN;333;9;2185.00;12.6
20556;WIGGLE_OUT;326;-7;2875.00;12.3
20975;WIGGLE_OUT;363;22;905.00;12.8
21036;WIGGLE_IN;375;24;820.00;12.8
21156;WIGGLE_OUT;371;-5;3025.00;12.3
21481;WIGGLE_OUT;398;19;695.00;12.8
21636;WIGGLE_IN;421;24;815.00;12.8
21756;WIGGLE_OUT;416;-9;3010.00;12.3
21987;WIGGLE_OUT;431;15;430.00;13.0
22236;WIGGLE_IN;465;24;825.00;12.8
22356;WIGGLE_OUT;460;-6;2945.00;12.3
22492;WIGGLE_OUT;466;12;220.00;13.1
22836;WIGGLE_IN;509;24;855.00;12.8
22956;WIGGLE_OUT;504;-8;2970.00;12.3
22997;WIGGLE_OUT;505;6;1335.00;12.5
23436;CLEANING;554;24;835.00;12.8
23502;CLEANING;564;26;740.00;12.8
24007;CLEANING;684;47;65.00;13.0
24513;CLEANING;870;65;220.00;13.0
25019;CLEANING;1128;83;465.00;12.9
25525;CLEANING;1396;81;395.00;13.0
26031;CLEANING;1666;82;420.00;13.0
26537;CLEANING;1946;82;405.00;12.9
27043;CLEANING;2212;82;430.00;12.9
27549;CLEANING;2482;84;345.00;13.0
28055;CLEANING;2752;83;380.00;13.0
28561;CLEANING;3033;79;380.00;13.0
29067;CLEANING;3303;83;340.00;13.0
29575;CLEANING;3573;83;345.00;13.0
30081;CLEANING;3854;81;370.00;13.0
30587;CLEANING;4124;83;355.00;13.0
31093;CLEANING;4393;80;390.00;13.0
31599;CLEANING;4674;83;335.00;13.0
32105;CLEANING;4942;83;350.00;13.0
32216;DECEL_END;5007;82;390.00;12.9
32236;DECEL_END;5018;83;330.00;12.9
32241;WINDING_IN;5018;83;310.00;12.9
32611;WINDING_IN;5026;0;4455.00;11.9
33117;WINDING_IN;4936;-50;3670.00;11.9
33623;WINDING_IN;4763;-55;3070.00;12.2
34129;WINDING_IN;4578;-57;2750.00;12.3
34635;WINDING_IN;4392;-54;3095.00;12.2
35143;WINDING_IN;4202;-57;2755.00;12.3
35649;WINDING_IN;4013;-57;2685.00;12.3
36155;WINDING_IN;3820;-60;2440.00;12.3
36661;WINDING_IN;3616;-60;2520.00;12.3
37167;WINDING_IN;3424;-62;2255.00;12.4
37673;WINDING_IN;3221;-60;2600.00;12.3
38179;WINDING_IN;3029;-59;2555.00;12.3
38685;WINDING_IN;2836;-59;2780.00;12.3
39191;WINDING_IN;2647;-58;2575.00;12.3
39697;WINDING_IN;2444;-57;2630.00;12.3
40203;WINDING_IN;2246;-62;2225.00;12.4
40709;WINDING_IN;2062;-56;2930.00;12.2
41215;WINDING_IN;1865;-56;2870.00;12.3
41721;WINDING_IN;1661;-60;2460.00;12.3
42227;WINDING_IN;1464;-67;2225.00;12.4
42733;WINDING_IN;1272;-58;2695.00;12.2
43239;WINDING_IN;1066;-60;2380.00;12.3
43745;WINDING_IN;871;-58;2730.00;12.2
44251;WINDING_IN;681;-51;3375.00;12.2
44716;WINDING_IN_DECEL;499;-62;1970.00;12.4
44757;WINDING_IN_DECEL;482;-64;1870.00;12.5
45262;WINDING_IN_DECEL;322;-40;1560.00;12.6
45768;WINDING_IN_DECEL;305;0;6095.00;11.3
45856;WINDING_IN_DECEL;305;0;5960.00;11.3
45861;FINISHED;305;0;6030.00;11.3
45876;IDLE;0;0;4725.00;11.6
58976;GROUND_OUT;0;0;0.00;13.1
59274;GROUND_OUT;21;16;400.00;13.0
59316;DECEL_LOOSE_GROUND;27;16;455.00;12.9
59516;GROUND_OUT;29;0;0.00;13.1
59780;GROUND_OUT;49;12;465.00;13.0
60285;GROUND_OUT;113;23;880.00;12.8
60791;GROUND_OUT;202;31;590.00;12.9
61297;GROUND_OUT;309;33;495.00;12.9
61803;GROUND_OUT;411;29;635.00;12.9
62309;GROUND_OUT;513;32;515.00;12.9
62536;ERROR;561;30;665.00;12.9
62815;ERROR;566;0;0.00;13.1
63320;ERROR;566;0;0.00;13.1
63826;ERROR;566;0;0.00;13.1
64332;ERROR;566;0;0.00;13.1
64556;IDLE;566;0;0.00;13.1
1318216;WINDING_IN;566;0;0.00;13.1
1318338;WINDING_IN;559;-14;1655.00;12.7
1318696;WINDING_IN_DECEL;497;-40;1125.00;12.7
1318843;WINDING_IN_DECEL;457;-45;975.00;12.7
1319348;WINDING_IN_DECEL;308;-42;1060.00;12.7
1319854;WINDING_IN_DECEL;169;-40;1270.00;12.7
1320360;WINDING_IN_DECEL;39;-28;2395.00;12.4
1320816;WINDING_IN_DECEL;30;0;5795.00;11.4
1320822;FINISHED;30;0;5805.00;11.4
1320836;IDLE;0;0;4725.00;11.6
